Id,Sentiment,Text Tweet,Preprocessed
1,0,Jelek filmnya... apalagi si ernest gak mutu bgt actingnya... film sampah,jelek film ernest gak mutu actingnya film sampah
2,0,Film king Arthur ini film paling jelek dari seluruh cerita King Arthur ,film king arthur film jelek cerita king arthur
3,0,@beexkuanlin Sepanjang film gwa berkata kasar terus pada bapaknya,film kasar bapak
4,0,Ane ga suka fast and furious..menurutku kok jelek ya tu film,ga suka fast and furious turut jelek film
5,0,"@baekhyun36 kan gua ga tau film nya, lu bilang perang perangan/? Perang""an disebut ama rp yaoi jadi ambigu :v",ga tau film bilang perang perang perang an rp yaoi ambigu v
6,0,tolong editingnya yg bagus ya. Saya sering kecewa dgn film indonesia. Ditunggu filmnya!!,editingnya bagus kecewa film indonesia tunggu film
7,0,"Kecewa dgn salah satu aktornya yg ternyata pendukung penista agama. Ah, saya harus bersabar utk tak menonton film ini.",kecewa aktor dukung nista agama sabar tonton film
8,0,Kecewa parah sama film the guys. Dear @radityadika sorry to say this.,kecewa parah film dear sorry say this
9,0,Banyak yg kecewa abis nonton film ini :(,kecewa nonton film
10,0,#TheMummy 2017 adalah film yang paling memgecewakan saya selama hidup. Yah padahal sy udh berekspektasi tinggi dan suka bgt mesir kuno.,themummy 2017 film memgecewakan berekspektasi suka mesir kuno
11,0,"film jelek, jelas. Ga ada isinya. ",film jelek ga isi
12,0,awal bulan ini nonton dua film Indonesia di bioskop: kartini dan critical eleven. penggambaran kartini dan ale juga anya terlalu lemah. :( ,nonton film indonesia bioskop kartini critical eleven gambar kartini ale anya lemah
13,0,"Nonton film #Kartini miris , ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh, Serakah, Gila kawin .. IRONIS !! #CelotehPagi",nonton film kartini miris jaman jaman bangsa bodoh serakah gila kawin ironis celotehpagi
14,0,"Btw Danur jelek banget, gausah ditonton Hans @hansdavidian gue kebayang lo bakal #meantweets soal film ini ntar! Lol",danur jelek gausah tonton hans bayang meantweets film
15,0,"Film Kartini trlalu singkat, sehingga penonton yg mungkin blm baca biografi jelas ttg Kartini agak bingung. Saya sndiri emg blm baca bukuny.",film kartini trlalu singkat tonton blm baca biografi kartini bingung sndiri blm baca bukuny
16,0,"Habis nonton the guys, entah kenapa aku sedikit kecewa nonton film ini.. Dibanding film sebelumnya kok ini anjlok ya",habis nonton kecewa nonton film banding film anjlok
17,0,Yang udah nonton film Alien kok pada kecewa ya. Jadi ragu buat nonton.,nonton film alien kecewa ragu nonton
18,0,satu-satunya kerugian nonton film action itu.. aktornya jadi keliatan jelek :p,satu rugi nonton film action aktor liat jelek p
19,0,Ini film yang bilang bagus...Kelompoknya doang. Yang kasih penghargaan juga dia2 aj. waktu nonton ternyata jelek.,film bilang bagus kelompok doang kasih harga dia2 nonton jelek
20,0,"baik, kita sudahi saja. hidup terlalu singkat untuk dihabisken dengan menonton film jelek.",sudah singkat dihabisken tonton film jelek
21,0,"Film King Arthur itu tidak jelek namun juga tidak bagus. Biasa saja, cenderung mudah dilupakan.",film king arthur jelek bagus cenderung mudah lupa
22,0,"Jelek ah jelek Pantas film Dimension tidak pernah dirilis, akting kamu begini ternyata /ga ",jelek jelek film dimension rilis akting ga
23,0,duh ini film ribet banget ...,duh film ribet
24,0,"Dgn durasi film yg tll panjang, alur yg datar, akhirnya stlh #CriticalEleven selesai sy keluar dgn pertanyaan: ini masalahnya apa sih?",durasi film alur datar stlh criticaleleven selesai
25,0,"Banyak adegan penting yang di potong, jadinya merusak film itu sendiri ",adegan potong rusak film
26,0,"baru selesai nonton film GOAL 3, ternyata penurunan kualitas film nya drastis parah.",selesai nonton film goal 3 turun kualitas film drastis parah
27,0,Baru keingat film yang cukup beda dengan buku sampai bikin kecewa teman yang ngajak nonton: Black Bulter,ingat film beda buku kecewa ngajak nonton black bulter
28,0,ogah nonton lagi saya. Kecewa ama itu film ,nonton kecewa film
29,0,"Kecewa berat sama film Power Rangers, dibawah ekspektasi banget ",kecewa film power rangers bawah ekspektasi
30,0,Bahas soal film yang diangkat dari novel rasanya kalo di bikin film kurang puas aja gitu,bahas film angkat novel film puas
31,0,"Sebenernya nggak ada yang salah sama akting Prilly di film Danur menurut aku oke oke aja. Yang kurang greget itu ceritanya sih, kurang kuat.",sebenernya akting prilly film danur oke oke greget cerita kuat
32,0,"Tadi abis nonton film balap2 mobil itu,tertidur sekitar 15 menit. Entah lelah entah bosan.",nonton film balap2 mobil tidur 15 menit lelah bosan
33,0,The mummy film yg terasa mulai aneh sejak pertengahan filmnya #mummy,mummy film aneh tengah film mummy
34,0,"Memang malah kelihatan aneh kalau ada film besutan Marvel yang ga ada post-credit scene nya,kaya film yg habis saya tonton,#Logan.",aneh film besut marvel ga post credit scene kaya film habis tonton log
35,0,Film norak!!!! ,film norak
36,0,adanya film critical eleven ini jadi merusak image Ale Anya di kepalaku :(,film critical eleven rusak image ale anya kepala
37,0,"#FactRica ~ kurang suka sama film-film romantis, karena endingnya pasti jadian",factrica suka film film romantis endingnya jadi
38,0,Dibalik novel yang diangkat jadi film. Terus jadinya kurang. Sesungguhny ada campur tangan produser yang sok tau dengan embel2 lebih menjual,balik novel angkat film sesungguhny campur tangan produser sok tau embel2 jual
39,0,karena ga respect kelakuan si dian sastro ...film itu jadi hambar.... ga bermutu...!!! ,ga respect laku dian sastro film hambar ga mutu
40,0,sebnarnya ini film lumyan bgus..sayangnya aktor n aktrisnya dari rusia jadi filmnya trsa hambar,sebnarnya film lumyan bgus sayang aktor n aktris rusia film hambar
41,0,Kalo Nolan bikin film gak ada perempuan seksi* dan bumbu percintaan selalu hambar.,nol film gak perempuan seksi bumbu cinta hambar
42,0,"1. Insidious (2010) Meski creepy dan bagian awalnya bikin tegang, bagian akhir film ini justru terasa agak datar. Hal tersebut berpengaruh+",1 insidious 2010 creepy tegang film datar pengaruh
43,0,Ini gue nonton film homo aja rumit bener,nonton film homo rumit bener
44,0,Sayang banget ketika ada film lokal yang bagus tapi budgetnya kurang jadi layar yang bisa di tonton jadi terbatas banget. sayang banget,sayang film lokal bagus budgetnya layar tonton batas sayang
45,0,Film macam apa ini? Nonton nya bikin gue menderita -_-,film nonton derita
46,0,jadi gue nonton The Mummy ini karena seseorang bilang film nya bagus. tapi kemudian setelah keluar dari bioskop merasa menyesal...,nonton mummy bilang film bagus bioskop sesal
47,0,"Semalam nonton film ini, paginya ane download, malem langsung nonton.. ane smpai begadang.. hasilnya? Ane Kecewa... http://fb.me/13sZi5lbC ",malam nonton film pagi download malem nonton begadang hasil kecewa
48,0,"Aku takut kecewa nonton film Danur, takut ga sesuai ekspetasi ketika di buku. Mikir panjang, serius.",takut kecewa nonton film danur takut ga ekspetasi buku mikir serius
49,0,Nonton alien : covenant di @cinema21 mall @MciMall kaya nonton bajakan parah ada yg di SKIP mati mati jelek parah!!!! Film bagus jadi jelek ,nonton alien covenant mall kaya nonton baja parah skip mati mati jelek parah film bagus jelek
50,0,"gue adalah orang yg jarang bgt nntn film indonesia..krn tiap nntn, gue slalu kecewa sama pembuatan film yg mnrt gue ga totalitas",jarang nntn film indonesia krn nntn slalu kecewa buat film ga totalitas
51,0,"Awalnya agak ragu mau nonton, karena kebanyakan kecewa waktu nonton film dari adaptasi novel",ragu nonton banyak kecewa nonton film adaptasi novel
52,0,Sebenarnya gamau berekspektasi tinggi sih dari sebuah film yang diangkat dr buku. Biasanya malah kecewa :(,gamau berekspektasi film angkat buku kecewa
53,0,Ya sudah tidur saja kecewa film nya bukan yang diharepin hufy,tidur kecewa film diharepin hufy
54,0,"Sama, ane juga kecewa ma nih film, padahal udah lama nungguin",kecewa film nungguin
55,0,Ka @selliyamanto udah nonton #MembabiButa? Agak kecewa nonton film tu,ka nonton membabibuta kecewa nonton film
56,0,Jenuh nonton film... hambar,jenuh nonton film hambar
57,0,sesal di dada nonton ini film...,sesal dada nonton film
58,0,"Netizen membatalkan nonton film ""Kartini"" gara-gara kelakuan @therealDiSastr. http://bit.ly/2o2iRPY",netizen batal nonton film kartini gara gara laku
59,0,"film jelek, jelas. Ga ada isinya.",film jelek ga isi
60,0,Itu film makin aneh ajaa ?,film aneh
61,0,"Agak aneh film terbaru Conan, baru kali ini gk spektakuler. Tp openingnya hancurin gedung sih",aneh film baru conan gk spektakuler openingnya hancurin
62,0,"@askmenfess Film yang bikin emosional, bener-bener nyedot emosi.",film emosional bener bener nyedot emosi
63,0,@pandji @InsyaAllahSah Film busuk dan artis dungu merusak bhineka,film busuk artis dungu rusak bhineka
64,0,"Kecewa dgn plot cerita film dengan the guys, critanya seakan lompat ga ada proses visual yg bs bikin kta mengerti mengapa amira suka sm alfi",kecewa plot cerita film critanya akan lompat ga visual erti amira suka alf
65,0,jijik banget sama film ini. apalagi pas dia jadi kelinci gede-_- nightmare parah. https://t.co/eDoiFuS8P5,jijik film kelinci gede nightmare parah
66,0,"bnyak yg bilang film Mummy jelek, pdahl pengen nonton",bilang film mummy jelek ken nonton
67,0,"Banyak yang bilang, film ini jelek. Daur ulang yang gagal. Di imdb dan ratattote aja ratingnya anjlok. Tp menurutku, aku suka sama film ini",bilang film jelek daur ulang gagal imdb ratattote ratingnya anjlok turut suka film
68,0,Naruto adalah film paling bodoh ke-8 haha #faktanya #quote,naruto film bodoh 8 fakta quote
69,0,Gw ekspektasinya film ini punya kekuatan narasi yg gw bisa jadiin motivasi. Tp kalimat inspiratifnya kurang banyak hehehe,gw ekspektasinya film kuat narasi gw jadiin motivasi kalimat inspiratifnya hehehe
70,0,Film e hambar,film e hambar
71,0,"Film The Mummy menurut gue gak sesuai harapan, agak agak gimana gitu filmnya, weird. Dan bukan film tipe bang tom seperti biasanya -_-""",film mummy gak harap film weird film tipe tom
72,0,yah kirain film baru wkwk penonton kecewaa,kirain film wkwk tonton kecewaa
73,0,"Mau bilang jelek ya bilang aja, sekalipun yg buat film itu teman sendiri. Sebut ""filmya bagus"" padahal biasa aja ngga bkin tmen lu maju sih.",bilang jelek bilang film filmya bagus ngga bkin tmen maju
74,0,"Abis nonton King Arthur. Temen gw pesen, sblm nonton ""loh, itu film jelek katanya"" jgn selalu percaya ama pesen yg ada unsur ""KATANYA"" ..",nonton king arthur temen gw sen sblm nonton film jelek jgn percaya sen unsur
75,0,Kadang lebih gampang nilai film jelek ketimbang nilai film bagus. Mbuh.,kadang gampang nilai film jelek ketimbang nilai film bagus
76,0,Ini film apa dah. Baru mulai udh bgni-_- jijk,film bgni jijk
77,0,"Film Kartini menang pd pemain"" film yg kelas atas yg sudah punya nama. Tapi ceritany kurang dapat dan kurang riset menurut saya.",film kartini menang pd main film kelas ceritany riset
78,0,"Entah aku yg kurang belajar sejarah apa gimana, tapi entah kenapa konflik yg ditampilkan di film Kartini kaya kurang memenuhi ekspektasi aja",ajar sejarah konflik tampil film kartini kaya penuh ekspektasi
79,0,"Film itu kalau byk di sensor, rasanya g ada, hambar",film byk sensor g hambar
80,0,Semoga ga busuk kyk film yg pertama,moga ga busuk kyk film
81,0,Flm apa ini :) arah dan tujuannya nggak jelas.. Nyesel download ! Sabar... Ini ujian ! — menonton Hangout Film,flm arah tuju nyesel download sabar uji tonton hangout film
82,0,Hari ini nonton film terasa; hambarr,nonton film hambarr
83,0,Kurang mengerti sama film nya the mummy..,erti film mummy
84,0,Kecewa banyak deh pkoknya.. Setidaknya mslh jam tayang bs aja ngertiin tp klu film di cut itu yg g bs dingertiin #KaulahTakdirkuMembelamu,kecewa pkoknya mslh jam tayang ngertiin klu film cut g dingertiin kaulahtakdirkumembelamu
85,0,"Pernah novel favorit di filmkan & hasilnya bikin kecewa parah. Tp dari teaser #CriticalEleven saya yakin, team CE serius sama film ini",novel favorit film hasil kecewa parah teaser criticaleleven team ce serius film
86,0,"Intinya, kmren kecewa bgt sama @cinema21 krna mmbiarkan anak kecil nnton film dewasa & jam tayang malam (20.30 WIB) pula #CriticalEleven",inti kmren kecewa krna mmbiarkan anak nnton film dewasa jam tayang malam 20 30 criticaleleven
87,0,Aduh! Film bagian ini jijk parah,aduh film jijk parah
88,0,Kecewa parah nnton film the guys ini. Entah kenapa makin ksini radit bkin film gapernah bener. Lucu juga nggak. Jalan cerita juga gadapet...,kecewa parah nnton film ksini radit bkin film gapernah bener lucu cerita gadapet
89,0,"Agak kecewa sama film Danur, diluar ekspektasi :(",kecewa film danur luar ekspektasi
90,0,Ancur bgt itu film. Jelekk,ancur film jelekk
91,0,Flm nya jelekk bingittsss.,flm jelekk bingittsss
92,0,"Film hangout kok biasa aja sih, malah gak jelas sepertinya. Kecewaa",film hangout gak kecewaa
93,0,Ternyata ending film kamar 207 jelekk,ending film kamar 207 jelekk
