Id,Sentiment,Text Tweet,Preprocessed,synthetic
1,0,Jelek filmnya... apalagi si ernest gak mutu bgt actingnya... film sampah,jelek film ernest gak mutu actingnya film sampah,False
2,0,Film king Arthur ini film paling jelek dari seluruh cerita King Arthur ,film king arthur film jelek cerita king arthur,False
3,0,@beexkuanlin Sepanjang film gwa berkata kasar terus pada bapaknya,film kasar bapak,False
4,0,Ane ga suka fast and furious..menurutku kok jelek ya tu film,ga suka fast and furious turut jelek film,False
5,0,"@baekhyun36 kan gua ga tau film nya, lu bilang perang perangan/? Perang""an disebut ama rp yaoi jadi ambigu :v",ga tau film bilang perang perang perang an rp yaoi ambigu v,False
6,0,tolong editingnya yg bagus ya. Saya sering kecewa dgn film indonesia. Ditunggu filmnya!!,editingnya bagus kecewa film indonesia tunggu film,False
7,0,"Kecewa dgn salah satu aktornya yg ternyata pendukung penista agama. Ah, saya harus bersabar utk tak menonton film ini.",kecewa aktor dukung nista agama sabar tonton film,False
8,0,Kecewa parah sama film the guys. Dear @radityadika sorry to say this.,kecewa parah film dear sorry say this,False
9,0,Banyak yg kecewa abis nonton film ini :(,kecewa nonton film,False
10,0,#TheMummy 2017 adalah film yang paling memgecewakan saya selama hidup. Yah padahal sy udh berekspektasi tinggi dan suka bgt mesir kuno.,themummy 2017 film memgecewakan berekspektasi suka mesir kuno,False
11,0,"film jelek, jelas. Ga ada isinya. ",film jelek ga isi,False
12,0,awal bulan ini nonton dua film Indonesia di bioskop: kartini dan critical eleven. penggambaran kartini dan ale juga anya terlalu lemah. :( ,nonton film indonesia bioskop kartini critical eleven gambar kartini ale anya lemah,False
13,0,"Nonton film #Kartini miris , ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh, Serakah, Gila kawin .. IRONIS !! #CelotehPagi",nonton film kartini miris jaman jaman bangsa bodoh serakah gila kawin ironis celotehpagi,False
14,0,"Btw Danur jelek banget, gausah ditonton Hans @hansdavidian gue kebayang lo bakal #meantweets soal film ini ntar! Lol",danur jelek gausah tonton hans bayang meantweets film,False
